plasmid_id	orf_id	start	end	strand	COG_category	COG_description	Domains	AMR_class	AMR_mechanism	AMR_gene	AMR_identity
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_9	5563	5844	-1	K	.,Oxidizes proline to glutamate for use as a carbon and nitrogen source	Coil|Coil;G3DSA:1.10.1220.10|-;SSF47598|Ribbon-helix-helix				
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_10	5915	7873	-1	-	-	Coil|Coil;PF03432|Relaxase/Mobilisation nuclease domain;mobidb-lite|consensus disorder prediction				
ERR2185438_RNODE_1_length_1199_cov_15.05090	ERR2185438_RNODE_1_length_1199_cov_15.05090_2	752	1768	1	L	COG3039 Transposase and inactivated derivatives IS5 family	NF033581|NCBIFAM: IS5 family transposase;PF01609|Transposase DDE domain;PF05598|Transposase domain (DUF772);PTHR35604|TRANSPOSASE INSH FOR INSERTION SEQUENCE ELEMENT IS5A-RELATED				
ERR2185438_RNODE_2_length_2682_cov_16.60853	ERR2185438_RNODE_2_length_2682_cov_16.60853_2	1347	2417	-1	S	Alpha beta hydrolase	G3DSA:3.40.50.1820|alpha/beta hydrolase;PTHR43194|HYDROLASE ALPHA/BETA FOLD FAMILY;SSF53474|alpha/beta-Hydrolases;cd12807|Esterase_713				
ERR2185438_RNODE_2_length_2682_cov_16.60853	ERR2185438_RNODE_2_length_2682_cov_16.60853_3	2523	2714	1							
ERR2185438_RNODE_2_length_2682_cov_16.60853	ERR2185438_RNODE_2_length_2682_cov_16.60853_4	2732	4000	-1	S	Amidohydrolase family	G3DSA:2.30.40.10|Urease, subunit C, domain 1;G3DSA:3.20.20.140|-;PF01979|Amidohydrolase family;PIRSF039004|ADE_EF_0837;PTHR42717|DIHYDROOROTASE-RELATED;SSF51338|Composite domain of metallo-dependent hydrolases;SSF51556|Metallo-dependent hydrolases				
ERR2185439_RNODE_1_length_1457_cov_11.63760	ERR2185439_RNODE_1_length_1457_cov_11.63760_2	1523	2698	1	L	PFAM transposase IS116 IS110 IS902 family protein	Coil|Coil;NF033542|NCBIFAM: IS110 family transposase;PF01548|Transposase;PF02371|Transposase IS116/IS110/IS902 family;PTHR33055|TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1111A				
ERR2185440_RNODE_1_length_1930_cov_4.40050	ERR2185440_RNODE_1_length_1930_cov_4.40050_2	1532	2935	-1	L	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078|Reverse transcriptase (RNA-dependent DNA polymerase);PF08388|Group II intron, maturase-specific domain;PS50878|Reverse transcriptase (RT) catalytic domain profile.;PTHR34047|NUCLEAR INTRON MATURASE 1, MITOCHONDRIAL-RELATED;SSF56672|DNA/RNA polymerases;TIGR04416|JCVI: group II intron reverse transcriptase/maturase;cd01651|RT_G2_intron				
ERR2185440_RNODE_3_length_1591_cov_28.65370	ERR2185440_RNODE_3_length_1591_cov_28.65370_2	1448	2770	1	L	Transposase DDE domain group 1	NF033539|NCBIFAM: IS1380 family transposase;PF13701|Transposase DDE domain group 1;SSF53098|Ribonuclease H-like				
ERR2185440_RNODE_4_length_1363_cov_8.12212	ERR2185440_RNODE_4_length_1363_cov_8.12212_2	1688	2116	1	K	Firmicute plasmid replication protein (RepL)	G3DSA:1.10.10.10|-;PF05732|Firmicute plasmid replication protein (RepL);SM00419|crpmeuga4;SSF46785|Winged helix DNA-binding domain;cd00092|HTH_CRP				
ERR2185440_RNODE_5_length_4005_cov_14.56488	ERR2185440_RNODE_5_length_4005_cov_14.56488_3	2353	4074	-1	L	MobA/MobL family	Coil|Coil;G3DSA:3.30.930.30|-;NF041496|NCBIFAM: MobQ family relaxase;PF03389|MobA/MobL family;mobidb-lite|consensus disorder prediction				
ERR2185440_RNODE_5_length_4005_cov_14.56488	ERR2185440_RNODE_5_length_4005_cov_14.56488_4	4288	4596	1	-	-	Coil|Coil				
ERR2185440_RNODE_5_length_4005_cov_14.56488	ERR2185440_RNODE_5_length_4005_cov_14.56488_5	4586	5524	-1	L	Initiator Replication protein	G3DSA:1.10.10.10|-;PF01051|Initiator Replication protein, WH1;PF21205|Initiator Rep protein, WH2;SSF46785|Winged helix DNA-binding domain				
ERR2185441_RNODE_1_length_2751_cov_26.24680	ERR2185441_RNODE_1_length_2751_cov_26.24680_3	2799	3422	-1	S	Psort location Cytoplasmic, score 8.96	PF05732|Firmicute plasmid replication protein (RepL)				
ERR2185441_RNODE_1_length_2751_cov_26.24680	ERR2185441_RNODE_1_length_2751_cov_26.24680_4	3828	4931	-1	S	Psort location Cytoplasmic, score 8.96	Coil|Coil;cd17242|MobM_relaxase				
ERR2185441_RNODE_2_length_2512_cov_12.21422	ERR2185441_RNODE_2_length_2512_cov_12.21422_2	2609	4996	-1	MV	MacB-like periplasmic core domain	PF02687|FtsX-like permease family;PF12704|MacB-like periplasmic core domain;PTHR30572|MEMBRANE COMPONENT OF TRANSPORTER-RELATED				
ERR2185441_RNODE_3_length_1028_cov_2.18849	ERR2185441_RNODE_3_length_1028_cov_2.18849_2	1205	1954	1	-	-					
ERR2185441_RNODE_4_length_4413_cov_7.54641	ERR2185441_RNODE_4_length_4413_cov_7.54641_6	2461	3960	1	M	Plasmid recombination enzyme	Coil|Coil;G3DSA:3.30.930.30|-;PF01076|Plasmid recombination enzyme;cd17242|MobM_relaxase				
ERR2185441_RNODE_4_length_4413_cov_7.54641	ERR2185441_RNODE_4_length_4413_cov_7.54641_7	4657	5646	1	L	RePlication protein	PF01446|Replication protein	Drug_and_biocide_resistance	Drug_and_biocide_SMR_efflux_pumps	QACC	48.592
ERR2185441_RNODE_4_length_4413_cov_7.54641	ERR2185441_RNODE_4_length_4413_cov_7.54641_8	5643	6062	1	-	-	Coil|Coil;SSF46955|Putative DNA-binding domain				
ERR2185441_RNODE_4_length_4413_cov_7.54641	ERR2185441_RNODE_4_length_4413_cov_7.54641_9	6041	6379	1	-	-					
ERR2185441_RNODE_4_length_4413_cov_7.54641	ERR2185441_RNODE_4_length_4413_cov_7.54641_10	6383	6745	1	-	-	Coil|Coil;mobidb-lite|consensus disorder prediction				
ERR2185441_RNODE_5_length_1981_cov_11.21760	ERR2185441_RNODE_5_length_1981_cov_11.21760_2	2563	3579	1	L	Replication initiation factor	Coil|Coil;PF02486|Replication initiation factor	Tetracyclines	Tetracycline_resistance_MFS_efflux_regulator	TETU	76.19
ERR2185443_RNODE_11_length_4033_cov_5.11369	ERR2185443_RNODE_11_length_4033_cov_5.11369_3	2077	2676	-1	K	Helix-turn-helix domain	G3DSA:1.10.10.10|-;PF13730|Helix-turn-helix domain;SSF46785|Winged helix DNA-binding domain;cd00090|HTH_ARSR				
ERR2185443_RNODE_11_length_4033_cov_5.11369	ERR2185443_RNODE_11_length_4033_cov_5.11369_4	2673	2870	-1			NF041430|NCBIFAM: plasmid repression protein F				
ERR2185443_RNODE_11_length_4033_cov_5.11369	ERR2185443_RNODE_11_length_4033_cov_5.11369_5	2867	3073	-1	-	-					
ERR2185443_RNODE_11_length_4033_cov_5.11369	ERR2185443_RNODE_11_length_4033_cov_5.11369_6	3135	4754	-1	L	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	Coil|Coil;G3DSA:3.30.930.30|-;NF041496|NCBIFAM: MobQ family relaxase;PF03389|MobA/MobL family;mobidb-lite|consensus disorder prediction				
ERR2185443_RNODE_11_length_4033_cov_5.11369	ERR2185443_RNODE_11_length_4033_cov_5.11369_7	4938	5276	1	-	-	Coil|Coil;mobidb-lite|consensus disorder prediction				
ERR2185443_RNODE_12_length_4994_cov_8.06238	ERR2185443_RNODE_12_length_4994_cov_8.06238_4	3938	4120	-1	-	-					
ERR2185443_RNODE_12_length_4994_cov_8.06238	ERR2185443_RNODE_12_length_4994_cov_8.06238_5	4317	4973	-1	S	Domain of unknown function, E. rectale Gene description (DUF3879)	PF12995|Domain of unknown function, E. rectale Gene description (DUF3879)				
ERR2185443_RNODE_12_length_4994_cov_8.06238	ERR2185443_RNODE_12_length_4994_cov_8.06238_6	5101	6393	-1	T	signal transduction protein with a C-terminal ATPase domain	G3DSA:3.30.565.10|-;PF14501|GHKL domain;PTHR40448|TWO-COMPONENT SENSOR HISTIDINE KINASE;SSF55874|ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase;cd16935|HATPase_AgrC-ComD-like				
ERR2185443_RNODE_12_length_4994_cov_8.06238	ERR2185443_RNODE_12_length_4994_cov_8.06238_7	6402	7136	-1	T	LytTr DNA-binding domain	Coil|Coil;G3DSA:2.40.50.1020|-;G3DSA:3.40.50.2300|-;PF00072|Response regulator receiver domain;PF04397|LytTr DNA-binding domain;PS50110|Response regulatory domain profile.;PS50930|LytTR-type HTH domain profile.;PTHR37299|TRANSCRIPTIONAL REGULATOR-RELATED;SM00448|REC_2;SM00850|LytTR_3;SSF52172|CheY-like				
ERR2185443_RNODE_12_length_4994_cov_8.06238	ERR2185443_RNODE_12_length_4994_cov_8.06238_8	7417	8904	-1	-	-	G3DSA:2.60.120.380|-;mobidb-lite|consensus disorder prediction				
ERR2185443_RNODE_1_length_1879_cov_5.00430	ERR2185443_RNODE_1_length_1879_cov_5.00430_3	1181	2650	-1	S	domain, Protein					
ERR2185443_RNODE_1_length_1879_cov_5.00430	ERR2185443_RNODE_1_length_1879_cov_5.00430_4	2683	3063	-1	-	-	PIRSF033725|UCP033725				
ERR2185443_RNODE_2_length_1065_cov_5.10330	ERR2185443_RNODE_2_length_1065_cov_5.10330_2	651	956	-1	L	Transposase	Coil|Coil;G3DSA:1.10.10.10|-;PF01527|Transposase;SSF46689|Homeodomain-like				
ERR2185443_RNODE_2_length_1065_cov_5.10330	ERR2185443_RNODE_2_length_1065_cov_5.10330_3	934	1683	-1	L	PFAM Integrase catalytic	G3DSA:3.30.420.10|-;NF033516|NCBIFAM: IS3 family transposase;PF00665|Integrase core domain;PF13276|HTH-like domain;PS50994|Integrase catalytic domain profile.;PTHR46889|TRANSPOSASE INSF FOR INSERTION SEQUENCE IS3B-RELATED;SSF53098|Ribonuclease H-like				
ERR2185443_RNODE_4_length_1684_cov_4.92453	ERR2185443_RNODE_4_length_1684_cov_4.92453_3	1742	2320	1	L	Helix-turn-helix domain	Coil|Coil;G3DSA:1.10.10.10|-;PF13518|Helix-turn-helix domain;PTHR33795|INSERTION ELEMENT IS150 PROTEIN INSJ;SSF46689|Homeodomain-like;SSF48295|TrpR-like				
ERR2185443_RNODE_4_length_1684_cov_4.92453	ERR2185443_RNODE_4_length_1684_cov_4.92453_4	2344	3162	1	L	Integrase core domain	G3DSA:3.30.420.10|-;NF033516|NCBIFAM: IS3 family transposase;PF00665|Integrase core domain;PF13276|HTH-like domain;PF13333|Integrase core domain;PS50994|Integrase catalytic domain profile.;PTHR46889|TRANSPOSASE INSF FOR INSERTION SEQUENCE IS3B-RELATED;SSF53098|Ribonuclease H-like				
ERR2185443_RNODE_5_length_1180_cov_3.33016	ERR2185443_RNODE_5_length_1180_cov_3.33016_3	1335	1715	1	S	Psort location Cytoplasmic, score 8.87					
ERR2185443_RNODE_5_length_1180_cov_3.33016	ERR2185443_RNODE_5_length_1180_cov_3.33016_4	1744	2190	1	-	-					
ERR2185443_RNODE_6_length_2034_cov_10.24316	ERR2185443_RNODE_6_length_2034_cov_10.24316_3	2672	4066	1	L	COG COG3666 Transposase and inactivated derivatives	Coil|Coil;PF05598|Transposase domain (DUF772);PTHR33408|TRANSPOSASE				
ERR2185443_RNODE_7_length_2465_cov_16.94409	ERR2185443_RNODE_7_length_2465_cov_16.94409_3	1255	2448	1	E	Belongs to the DegT DnrJ EryC1 family	PF04986|Putative transposase;mobidb-lite|consensus disorder prediction				
ERR2185443_RNODE_7_length_2465_cov_16.94409	ERR2185443_RNODE_7_length_2465_cov_16.94409_4	2687	2980	1	S	Antibiotic biosynthesis monooxygenase	G3DSA:3.30.70.100|-;PF03992|Antibiotic biosynthesis monooxygenase;SSF54909|Dimeric alpha+beta barrel				
ERR2185443_RNODE_7_length_2465_cov_16.94409	ERR2185443_RNODE_7_length_2465_cov_16.94409_5	2981	3703	1	-	-					
ERR2185443_RNODE_8_length_1850_cov_9.23244	ERR2185443_RNODE_8_length_1850_cov_9.23244_3	1735	2568	-1	-	-					
ERR2185443_RNODE_8_length_1850_cov_9.23244	ERR2185443_RNODE_8_length_1850_cov_9.23244_4	2765	3517	-1	-	-					
ERR2185443_RNODE_9_length_1049_cov_0.63618	ERR2185443_RNODE_9_length_1049_cov_0.63618_2	752	1690	1	ET	ABC transporter, substrate-binding protein, family 3	G3DSA:3.40.190.10|-;PF00497|Bacterial extracellular solute-binding proteins, family 3;PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.;PTHR35936|MEMBRANE-BOUND LYTIC MUREIN TRANSGLYCOSYLASE F;SM00062|AABind_6;SSF53850|Periplasmic binding protein-like II;cd01004|PBP2_MidA_like;mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_100_length_2548_cov_4.70690	ERR2185444_RNODE_100_length_2548_cov_4.70690_2	1770	2201	-1							
ERR2185444_RNODE_100_length_2548_cov_4.70690	ERR2185444_RNODE_100_length_2548_cov_4.70690_3	2757	4058	-1	H	dephospho-CoA kinase activity	Coil|Coil				
ERR2185444_RNODE_10_length_1207_cov_16.73820	ERR2185444_RNODE_10_length_1207_cov_16.73820_2	1211	1444	-1			Coil|Coil				
ERR2185444_RNODE_11_length_1352_cov_80.05920	ERR2185444_RNODE_11_length_1352_cov_80.05920_2	1634	2515	1	-	-					
ERR2185444_RNODE_12_length_2357_cov_6.35380	ERR2185444_RNODE_12_length_2357_cov_6.35380_3	1187	1327	-1							
ERR2185444_RNODE_12_length_2357_cov_6.35380	ERR2185444_RNODE_12_length_2357_cov_6.35380_4	1320	2270	-1	L	Initiator Replication protein	G3DSA:1.10.10.10|-;PF01051|Initiator Replication protein, WH1;PF21205|Initiator Rep protein, WH2;SSF46785|Winged helix DNA-binding domain				
ERR2185444_RNODE_12_length_2357_cov_6.35380	ERR2185444_RNODE_12_length_2357_cov_6.35380_5	2763	2999	1	S	Antitoxin component of a toxin-antitoxin (TA) module	G3DSA:3.40.1620.10|-;PF02604|Antitoxin Phd_YefM, type II toxin-antitoxin system;PF10884|Protein of unknown function (DUF2683);SSF143120|YefM-like				
ERR2185444_RNODE_12_length_2357_cov_6.35380	ERR2185444_RNODE_12_length_2357_cov_6.35380_6	2990	3250	1	S	TIGRFAM toxin-antitoxin system, toxin component, Txe YoeB family	G3DSA:3.30.2310.20|-;PF06769|YoeB-like toxin of bacterial type II toxin-antitoxin system;PTHR38039|TOXIN YOEB;SSF143011|RelE-like;TIGR02116|JCVI: Txe/YoeB family addiction module toxin				
ERR2185444_RNODE_13_length_2454_cov_6.90510	ERR2185444_RNODE_13_length_2454_cov_6.90510_4	3001	3543	1	L	Firmicute plasmid replication protein (RepL)	G3DSA:1.10.10.10|-;PF05732|Firmicute plasmid replication protein (RepL)				
ERR2185444_RNODE_13_length_2454_cov_6.90510	ERR2185444_RNODE_13_length_2454_cov_6.90510_5	3540	4670	-1	Q	Transposase	Coil|Coil;G3DSA:3.30.930.30|-;PF01076|Plasmid recombination enzyme;cd17242|MobM_relaxase				
ERR2185444_RNODE_14_length_1744_cov_16.82630	ERR2185444_RNODE_14_length_1744_cov_16.82630_3	1084	2112	-1	L	Replication initiation factor	PF02486|Replication initiation factor				
ERR2185444_RNODE_14_length_1744_cov_16.82630	ERR2185444_RNODE_14_length_1744_cov_16.82630_4	2122	2571	-1			mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_15_length_2261_cov_10.00440	ERR2185444_RNODE_15_length_2261_cov_10.00440_3	1703	1984	-1			Coil|Coil;PF01402|Ribbon-helix-helix protein, copG family;mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_15_length_2261_cov_10.00440	ERR2185444_RNODE_15_length_2261_cov_10.00440_4	2438	2851	-1			Coil|Coil;mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_15_length_2261_cov_10.00440	ERR2185444_RNODE_15_length_2261_cov_10.00440_5	2945	3853	-1	S	Psort location Cytoplasmic, score 8.87					
ERR2185444_RNODE_16_length_2795_cov_10.00360	ERR2185444_RNODE_16_length_2795_cov_10.00360_5	1919	2944	1	L	Initiator RepB protein	G3DSA:1.10.10.10|-;PF01051|Initiator Replication protein, WH1;PF21205|Initiator Rep protein, WH2;SSF46785|Winged helix DNA-binding domain				
ERR2185444_RNODE_16_length_2795_cov_10.00360	ERR2185444_RNODE_16_length_2795_cov_10.00360_6	2956	3297	1							
ERR2185444_RNODE_16_length_2795_cov_10.00360	ERR2185444_RNODE_16_length_2795_cov_10.00360_7	3814	4089	-1	S	addiction module toxin, Txe YoeB family	G3DSA:3.30.2310.20|-;PF06769|YoeB-like toxin of bacterial type II toxin-antitoxin system;SSF143011|RelE-like				
ERR2185444_RNODE_16_length_2795_cov_10.00360	ERR2185444_RNODE_16_length_2795_cov_10.00360_8	4086	4346	-1	-	-	SSF143120|YefM-like				
ERR2185444_RNODE_17_length_2208_cov_14.00000	ERR2185444_RNODE_17_length_2208_cov_14.00000_4	1812	2339	1	O	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins	G3DSA:3.40.30.10|Glutaredoxin;G3DSA:3.40.630.30|-;PF14542|GCN5-related N-acetyl-transferase;PS51729|Yjdj-type Gcn5-related N-acetyltransferase (GNAT) domain profile.;SSF52833|Thioredoxin-like;SSF55729|Acyl-CoA N-acyltransferases (Nat)				
ERR2185444_RNODE_17_length_2208_cov_14.00000	ERR2185444_RNODE_17_length_2208_cov_14.00000_5	2342	2548	1	S	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity					
ERR2185444_RNODE_17_length_2208_cov_14.00000	ERR2185444_RNODE_17_length_2208_cov_14.00000_6	2615	4027	1	C	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family	G3DSA:3.30.390.30|-;G3DSA:3.50.50.60|-;PF02852|Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;PF07992|Pyridine nucleotide-disulphide oxidoreductase;PIRSF000350|Hg-II_reductase_MerA;PR00368|FAD-dependent pyridine nucleotide reductase signature;PR00411|Pyridine nucleotide disulphide reductase class-I signature;PTHR43014|MERCURIC REDUCTASE;SSF51905|FAD/NAD(P)-binding domain;SSF55424|FAD/NAD-linked reductases, dimerisation (C-terminal) domain	Arsenic_resistance;Mercury_resistance	Arsenic_resistance_protein;Mercury_resistance_protein	ARST;MERA	32.71
ERR2185444_RNODE_18_length_1362_cov_5.10790	ERR2185444_RNODE_18_length_1362_cov_5.10790_2	1382	2722	-1	H	CarboxypepD_reg-like domain	G3DSA:1.25.40.10|Tetratricopeptide repeat domain				
ERR2185444_RNODE_19_length_2775_cov_102.03680	ERR2185444_RNODE_19_length_2775_cov_102.03680_2	1782	2396	1	S	Plasmid replication protein	G3DSA:3.40.1310.30|-;PF01719|Plasmid replication protein				
ERR2185444_RNODE_19_length_2775_cov_102.03680	ERR2185444_RNODE_19_length_2775_cov_102.03680_3	2613	4115	1	M	Psort location Cytoplasmic, score	Coil|Coil;G3DSA:3.30.930.30|-;PF01076|Plasmid recombination enzyme;cd17242|MobM_relaxase;mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_1_length_3200_cov_11.47410	ERR2185444_RNODE_1_length_3200_cov_11.47410_4	1841	2104	-1	-	-	G3DSA:6.20.450.20|-				
ERR2185444_RNODE_1_length_3200_cov_11.47410	ERR2185444_RNODE_1_length_3200_cov_11.47410_5	2101	2622	-1	-	-	G3DSA:1.10.10.10|-;SSF46785|Winged helix DNA-binding domain				
ERR2185444_RNODE_1_length_3200_cov_11.47410	ERR2185444_RNODE_1_length_3200_cov_11.47410_6	3479	4477	1	D	Plasmid recombination enzyme	G3DSA:3.30.930.30|-;NF041497|NCBIFAM: MobV family relaxase;PF01076|Plasmid recombination enzyme;cd17242|MobM_relaxase;mobidb-lite|consensus disorder prediction				
ERR2185444_RNODE_1_length_3200_cov_11.47410	ERR2185444_RNODE_1_length_3200_cov_11.47410_7	4483	4746	-1							
ERR2185444_RNODE_1_length_3200_cov_11.47410	ERR2185444_RNODE_1_length_3200_cov_11.47410_8	4749	5051	-1	S	ParE toxin of type II toxin-antitoxin system, parDE	G3DSA:3.30.2310.20|-;PF05016|ParE toxin of type II toxin-antitoxin system, parDE;PTHR33755|TOXIN PARE1-RELATED;SSF143011|RelE-like				
ERR2185444_RNODE_20_length_1042_cov_11.64110	ERR2185444_RNODE_20_length_1042_cov_11.64110_2	610	906	1	K	Helix-turn-helix domain	G3DSA:1.10.10.60|-;PF12833|Helix-turn-helix domain;PR00032|AraC bacterial regulatory protein HTH signature;PS00041|Bacterial regulatory proteins, araC family signature.;PS01124|Bacterial regulatory proteins, araC family DNA-binding domain profile.;PTHR47504|RIGHT ORIGIN-BINDING PROTEIN;SM00342|aracneu4;SSF46689|Homeodomain-like	Drug_and_biocide_and_metal_resistance;Drug_and_biocide_resistance;Multi-drug_resistance;Tetracyclines	Drug_and_biocide_RND_efflux_regulator;Drug_and_biocide_and_metal_RND_efflux_pumps;Drug_and_biocide_and_metal_resistance_regulator;Multi-drug_RND_efflux_regulator;Tetracycline_resistance_MFS_efflux_pumps	MARA;RAMA;ROBA;SOXS;TETD	84.694
ERR2185444_RNODE_20_length_1042_cov_11.64110	ERR2185444_RNODE_20_length_1042_cov_11.64110_3	916	1629	-1	L	Transposase DDE domain	G3DSA:3.90.350.10|Transposase Inhibitor Protein From Tn5; Chain A, domain 1;NF033591|NCBIFAM: IS4 family transposase;PF01609|Transposase DDE domain;PTHR35404|TRANSPOSASE OF TN10;SSF53098|Ribonuclease H-like				
ERR2185444_RNODE_21_length_2428_cov_34.38550	ERR2185444_RNODE_21_length_2428_cov_34.38550_4	1603	2604	1	L	Plasmid recombination enzyme	Coil|Coil;G3DSA:3.30.930.30|-;NF041497|NCBIFAM: MobV family relaxase;PF01076|Plasmid recombination enzyme;cd17242|MobM_relaxase				
